Sample	MethScore	Quartile	Tertile
TCGA.E2.A1IH.01	-0.073809239	2	1
TCGA.D8.A1J8.01	0.128639768	4	3
TCGA.D8.A1JS.01	-0.041253426	2	2
TCGA.C8.A1HO.01	0.215504338	4	3
TCGA.BH.A1EX.01	-0.03789978	2	2
TCGA.BH.A1EY.01	0.08145717	4	3
TCGA.D8.A1JP.01	-0.039988104	2	2
TCGA.BH.A1FL.01	0.002065226	3	2
TCGA.AO.A1KP.01	0.087523423	4	3
TCGA.EW.A1P8.01	-0.118322197	1	1
TCGA.A1.A0SQ.01	-0.017526828	3	2
TCGA.A1.A0SF.01	-0.004203174	3	2
TCGA.EW.A1OY.01	-0.063831398	2	1
TCGA.E2.A1II.01	-0.048961316	2	2
TCGA.E9.A1ND.01	-0.107516871	1	1
TCGA.E2.A1LA.01	0.038689353	3	3
TCGA.EW.A1OW.01	-0.136384873	1	1
TCGA.EW.A1OX.01	0.220244886	4	3
TCGA.E2.A1IJ.01	-0.033960955	2	2
TCGA.EW.A1P6.01	-0.058015419	2	2
TCGA.E2.A1LL.01	-0.010288813	3	2
TCGA.EW.A1IX.01	-0.095866788	1	1
TCGA.A1.A0SB.01	-0.202431684	1	1
TCGA.A1.A0SN.01	0.178114117	4	3
TCGA.EW.A1P0.01	-0.07592093	2	1
TCGA.EW.A1PD.01	0.046880027	3	3
TCGA.EW.A1PE.01	-0.065787195	2	1
TCGA.EW.A1PA.01	-0.034693512	2	2
TCGA.EW.A1PG.01	-0.064448133	2	1
TCGA.A1.A0SG.01	-0.069288237	2	1
TCGA.EW.A1P4.01	-0.070023083	2	1
TCGA.E9.A1N6.01	-0.05996525	2	2
TCGA.E9.A1NA.01	0.242744681	4	3
TCGA.EW.A1P7.01	-0.102852449	1	1
TCGA.E2.A1LB.01	0.039610638	3	3
TCGA.E2.A1IO.01	-0.07159746	2	1
TCGA.E2.A1L7.01	0.141174292	4	3
TCGA.E2.A1IF.01	-0.096788688	1	1
TCGA.A1.A0SI.01	-0.035244496	2	2
TCGA.E2.A1IK.01	-0.130513901	1	1
TCGA.EW.A1P5.01	-0.026336222	2	2
TCGA.EW.A1PF.01	-0.078564007	1	1
TCGA.EW.A1PB.01	-0.052845485	2	2
TCGA.EW.A1OZ.01	0.245792293	4	3
TCGA.EW.A1P3.01	-0.045948102	2	2
TCGA.EW.A1OV.01	0.031161188	3	2
TCGA.E9.A1N9.01	-0.052184423	2	2
TCGA.E2.A1LH.01	-0.120227724	1	1
TCGA.D8.A1X5.01	0.101512173	4	3
TCGA.BH.A1FU.01	-0.097744872	1	1
TCGA.E2.A1IU.01	-0.054845847	2	2
TCGA.E9.A1NF.01	0.059871603	3	3
TCGA.D8.A1XA.01	0.118839556	4	3
TCGA.A2.A1FZ.01	-0.018154978	3	2
TCGA.D8.A1XC.01	0.075925195	4	3
TCGA.E9.A1N5.01	-0.004988049	3	2
TCGA.E9.A1NH.01	-0.07659457	2	1
TCGA.D8.A1XD.01	-0.051647289	2	2
TCGA.D8.A1XF.01	0.457701675	4	3
TCGA.D8.A1XG.01	-0.066403899	2	1
TCGA.D8.A1XB.01	0.023209258	3	2
TCGA.E2.A1LK.01	0.21743043	4	3
